RACV - Bourke St / New Chancery Ln - City,6,4,-37.815505,144.959278
Flagstaff Gardens - Peel St - West Melbourne,5,6,-37.809216,144.955223
Plum Garland Reserve - Beaconsfield Pde - Albert Park,19,0,-37.847795,144.948351
Siddeley St / Seafarers Bridge - Docklands,1,21,-37.823124,144.951918
Queens Rd / Bowen Cres - Melbourne,6,9,-37.835383,144.973699
Luna Park - Lower Esp - St Kilda,34,5,-37.867068,144.976428
South Melbourne Market - York St / Cecil St - South Melbourne,2,13,-37.831475,144.957511
VCAM - St Kilda Rd / Southbank Blvd - Southbank,4,6,-37.824088,144.970085
Museum - Rathdowne St - Carlton,1,13,-37.803868,144.969609
Jolimont Station - Wellington Pde South - East Melbourne,9,2,-37.816731,144.982006
ACCA - Sturt St - Southbank,12,10,-37.826578,144.966542
ANZ - Collins St - Docklands,2,17,-37.821568,144.944488
RMIT - Swanston St / Franklin St - City,1,6,-37.807699,144.963095
Napier St / Victoria Pde - Fitzroy,5,6,-37.808266,144.979005
Aquarium - Kings Way / Flinders St - City,11,0,-37.821324,144.958318
Rod Laver Arena - Batman Ave / Swan St - City,0,23,-37.822987,144.978459
Domain Interchange - Park St / St Kilda Rd - Melbourne,15,0,-37.832396,144.971678
Kings Way / St Kilda Rd - Melbourne,5,21,-37.836323,144.975162
Spring St / Collins St - City,8,3,-37.813774,144.974054
Victoria Market - Elizabeth St / Victoria St - City,12,13,-37.806091,144.959017
State Library - Swanston St / Little Lonsdale St - City,6,5,-37.810702,144.964417
Bourke Street Mall - 205 Bourke St - City,0,11,-37.813088,144.967437
Melbourne Uni - Tin Alley - Carlton,6,12,-37.79625,144.960858
St Paul's Cathedral - Swanston St / Flinders St - City,5,4,-37.817189,144.967409
MSAC - Aughtie Dve - Albert Park,25,2,-37.842395,144.961868
Fitzroy Town Hall - Moor St - Fitzroy,10,1,-37.801813,144.979209
Coventry St / St Kilda Rd - Southbank,5,6,-37.828887,144.970822
NAB - Harbour Esp / Bourke St - Docklands,5,27,-37.818306,144.945923
Yarra's Point - Lorimer St / Yarra River - Docklands,5,10,-37.823805,144.943051
Argyle Square - Lygon St - Carlton,0,11,-37.802129,144.96677
Harbour Town - Docklands Dve - Docklands,10,13,-37.814022,144.939521
Parliament Station - Nicholson St / Albert St - City,6,9,-37.809072,144.972762
Bridport St / Montague St - Albert Park,8,15,-37.840885,144.955303
Pickles St / Ingles St - Port Melbourne,16,7,-37.835803,144.94852
Yarra's Edge - River Esp / Yarra River - Docklands,7,4,-37.824468,144.946033
North Melbourne Station - Adderley St - North Melbourne,5,13,-37.807021,144.941854
Sandridge Bridge - Southbank,11,15,-37.820836,144.962266
Beach St - Port Melbourne,8,30,-37.841954,144.935296
New Quay Prom / Harbour Esp - Docklands,11,16,-37.814117,144.944081
Queensbridge St / Yarra River - Southbank,2,10,-37.821071,144.961113
Southern Cross Station - Spencer St - City,25,2,-37.818124,144.953581
Gasworks Arts Park - Pickles St - Albert Park,11,0,-37.842174,144.946051
Cleve Gardens - Fitzroy St - St Kilda,11,4,-37.861984,144.97341
West Beach Pavilion - Beaconsfield Pde - St Kilda West,6,8,-37.858553,144.969101
Yorkshire Brewery - Wellington St - Collingwood,2,5,-37.805997,144.986953
Fitzroy Street - St Kilda,14,17,-37.858655,144.978818
Coventry St / Clarendon St - South Melbourne,8,3,-37.831776,144.960818
University Square - Grattan St - Carlton,6,9,-37.800214,144.960313
Richmond Station - Brunton Ave - East Melbourne,19,0,-37.822962,144.988507
Federation Square - Flinders St / Swanston St - City,13,14,-37.817523,144.967814
